DataSet,Num Features,Gene List,Model,Precision,Recall,Accuracy,F1,AUROC
Multiomics,19,RF1_10,LR,0.7205882352941176,0.7,0.7142857142857143,0.7101449275362319,0.7461224489795919
Multiomics,19,RF1_10,KNN,0.6438356164383562,0.6714285714285714,0.65,0.6573426573426574,0.7022448979591837
Multiomics,19,RF1_10,RF,0.75,0.6857142857142857,0.7285714285714285,0.7164179104477612,0.7923469387755103
Multiomics,19,RF1_10,NB,0.6538461538461539,0.4857142857142857,0.6142857142857143,0.5573770491803278,0.6859183673469387
mRNA,10,RF1_10,LR,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7475510204081633
mRNA,10,RF1_10,KNN,0.7142857142857143,0.6428571428571429,0.6928571428571428,0.6766917293233083,0.7009183673469388
mRNA,10,RF1_10,RF,0.7413793103448276,0.6142857142857143,0.7,0.671875,0.7776530612244897
mRNA,10,RF1_10,NB,0.639344262295082,0.5571428571428572,0.6214285714285714,0.5954198473282444,0.7181632653061224
Methylation,9,RF1_10,LR,0.6486486486486487,0.6857142857142857,0.6571428571428571,0.6666666666666667,0.6383673469387755
Methylation,9,RF1_10,KNN,0.696969696969697,0.6571428571428571,0.6857142857142857,0.676470588235294,0.7286734693877551
Methylation,9,RF1_10,RF,0.6896551724137931,0.5714285714285714,0.6571428571428571,0.625,0.7609183673469389
Methylation,9,RF1_10,NB,0.48717948717948717,0.2714285714285714,0.4928571428571429,0.34862385321100914,0.5616326530612246
Multiomics,9,RF1_5,LR,0.7301587301587301,0.6571428571428571,0.7071428571428572,0.6917293233082706,0.7575510204081632
Multiomics,9,RF1_5,KNN,0.7272727272727273,0.6857142857142857,0.7142857142857143,0.7058823529411764,0.7441836734693879
Multiomics,9,RF1_5,RF,0.75,0.6428571428571429,0.7142857142857143,0.6923076923076924,0.7859183673469388
Multiomics,9,RF1_5,NB,0.6595744680851063,0.44285714285714284,0.6071428571428571,0.5299145299145299,0.7020408163265306
mRNA,5,RF1_5,LR,0.7101449275362319,0.7,0.7071428571428572,0.7050359712230215,0.753061224489796
mRNA,5,RF1_5,KNN,0.6935483870967742,0.6142857142857143,0.6714285714285714,0.6515151515151515,0.723265306122449
mRNA,5,RF1_5,RF,0.7121212121212122,0.6714285714285714,0.7,0.6911764705882353,0.753061224489796
mRNA,5,RF1_5,NB,0.7627118644067796,0.6428571428571429,0.7214285714285714,0.6976744186046511,0.7193877551020408
Methylation,4,RF1_5,LR,0.6533333333333333,0.7,0.6642857142857143,0.6758620689655173,0.6581632653061225
