Dataset,Gene List,Model,FPR,TPR,Thresholds
mRNA,mRNA Var,NB,0.18571428571428572,0.6428571428571429,0.6332521099041826
mRNA,mRNA Var,NB,0.2,0.6428571428571429,0.6283989541730951
mRNA,mRNA Var,NB,0.2,0.6571428571428571,0.5891494848472922
mRNA,mRNA Var,NB,0.2571428571428571,0.6571428571428571,0.5610711529159367
mRNA,mRNA Var,NB,0.2571428571428571,0.6857142857142857,0.5309499819227382
mRNA,mRNA Var,NB,0.2714285714285714,0.6857142857142857,0.5068075000218912
mRNA,mRNA Var,NB,0.2714285714285714,0.7714285714285715,0.4424412917324746
mRNA,mRNA Var,NB,0.2857142857142857,0.7714285714285715,0.43257116001730295
mRNA,mRNA Var,NB,0.2857142857142857,0.8,0.39863416938945045
mRNA,mRNA Var,NB,0.3142857142857143,0.8,0.3640056450148783
mRNA,mRNA Var,NB,0.3142857142857143,0.8428571428571429,0.34582987640051555
mRNA,mRNA Var,NB,0.4,0.8428571428571429,0.23595314278954468
mRNA,mRNA Var,NB,0.4,0.8571428571428571,0.20164258870033216
mRNA,mRNA Var,NB,0.5571428571428572,0.8571428571428571,0.15782809245361637
mRNA,mRNA Var,NB,0.5571428571428572,0.8714285714285714,0.1486730381276032
mRNA,mRNA Var,NB,0.6285714285714286,0.8714285714285714,0.09787559005022088
mRNA,mRNA Var,NB,0.6285714285714286,0.8857142857142857,0.09659904183259507
mRNA,mRNA Var,NB,0.6428571428571429,0.8857142857142857,0.09583944871748946
mRNA,mRNA Var,NB,0.6428571428571429,0.9,0.09410986612091415
mRNA,mRNA Var,NB,0.6714285714285714,0.9,0.08915202300673855
mRNA,mRNA Var,NB,0.6714285714285714,0.9142857142857143,0.08792906780010369
mRNA,mRNA Var,NB,0.7571428571428571,0.9142857142857143,0.06392389320641408
mRNA,mRNA Var,NB,0.7571428571428571,0.9428571428571428,0.05790479308917253
mRNA,mRNA Var,NB,0.8714285714285714,0.9428571428571428,0.030709078903380198
mRNA,mRNA Var,NB,0.8714285714285714,0.9714285714285714,0.029418249200170145
mRNA,mRNA Var,NB,0.9428571428571428,0.9714285714285714,0.018289765210968447
mRNA,mRNA Var,NB,0.9428571428571428,0.9857142857142858,0.014046254822339517
mRNA,mRNA Var,NB,1.0,0.9857142857142858,0.009743184650217373
mRNA,mRNA Var,NB,1.0,1.0,0.0030880641612767695
Methylation,mRNA Var,LR,0.0,0.0,1.9406406038573023
Methylation,mRNA Var,LR,0.014285714285714285,0.0,0.9406406038573023
Methylation,mRNA Var,LR,0.014285714285714285,0.014285714285714285,0.9079245653833306
Methylation,mRNA Var,LR,0.02857142857142857,0.014285714285714285,0.9010899742006303
Methylation,mRNA Var,LR,0.02857142857142857,0.04285714285714286,0.802383536199885
Methylation,mRNA Var,LR,0.04285714285714286,0.04285714285714286,0.7979429707980547
Methylation,mRNA Var,LR,0.04285714285714286,0.15714285714285714,0.7294868892718067
Methylation,mRNA Var,LR,0.07142857142857142,0.15714285714285714,0.7104023436431497
Methylation,mRNA Var,LR,0.07142857142857142,0.24285714285714285,0.6296030119637146
Methylation,mRNA Var,LR,0.11428571428571428,0.24285714285714285,0.6101612769406528
Methylation,mRNA Var,LR,0.11428571428571428,0.2857142857142857,0.6050077554278968
Methylation,mRNA Var,LR,0.11428571428571428,0.35714285714285715,0.5986795839168896
Methylation,mRNA Var,LR,0.11428571428571428,0.38571428571428573,0.5968503883434222
Methylation,mRNA Var,LR,0.11428571428571428,0.45714285714285713,0.5950598615404094
Methylation,mRNA Var,LR,0.11428571428571428,0.5,0.593821974333853
Methylation,mRNA Var,LR,0.11428571428571428,0.5142857142857142,0.5894263999148441
Methylation,mRNA Var,LR,0.11428571428571428,0.6,0.5859913760986647
Methylation,mRNA Var,LR,0.11428571428571428,0.6285714285714286,0.5825839172145445
Methylation,mRNA Var,LR,0.11428571428571428,0.6428571428571429,0.5799550862484774
Methylation,mRNA Var,LR,0.12857142857142856,0.6428571428571429,0.5754612084664943
Methylation,mRNA Var,LR,0.12857142857142856,0.6571428571428571,0.5724438112537368
Methylation,mRNA Var,LR,0.15714285714285714,0.6571428571428571,0.5635052106634025
Methylation,mRNA Var,LR,0.15714285714285714,0.6857142857142857,0.5441553686251678
